"ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
5.58753395080566,907,906,0.998897464167585,"2017-02-04"
7.88337135314941,907,902,0.994487320837927,"2017-02-05"
5.88668155670166,907,904,0.996692392502756,"2017-02-06"
7.02521944046021,907,904,0.996692392502756,"2017-02-07"
6.1751651763916,907,907,1,"2017-02-08"
5.88244390487671,907,907,1,"2017-02-09"
6.01789045333862,907,907,1,"2017-02-10"
5.88244390487671,907,907,1,"2017-02-11"
5.88259983062744,907,905,0.997794928335171,"2017-02-12"
5.84306716918945,907,906,0.998897464167585,"2017-02-13"
5.2676305770874,907,904,0.996692392502756,"2017-02-14"
5.88363409042358,907,903,0.995589856670342,"2017-02-15"
5.88274574279785,907,904,0.996692392502756,"2017-02-16"
5.88244390487671,907,907,1,"2017-02-17"
5.88363409042358,907,903,0.995589856670342,"2017-02-18"
5.88250923156738,907,906,0.998897464167585,"2017-02-19"
5.7661566734314,907,905,0.997794928335171,"2017-02-20"
4.2337532043457,907,904,0.996692392502756,"2017-02-21"
4.42407035827637,907,904,0.996692392502756,"2017-02-22"
4.14270448684692,907,902,0.994487320837927,"2017-02-23"
5.84023427963257,907,907,1,"2017-02-24"
4.58237934112549,907,904,0.996692392502756,"2017-02-25"
5.79282903671265,907,907,1,"2017-02-26"
4.9423770904541,907,905,0.997794928335171,"2017-02-27"
4.97430610656738,907,907,1,"2017-02-28"
5.78380823135376,907,905,0.997794928335171,"2017-03-01"
5.7833833694458,907,906,0.998897464167585,"2017-03-02"
5.7833833694458,907,906,0.998897464167585,"2017-03-03"
5.78850603103638,907,902,0.994487320837927,"2017-03-04"
5.78347206115723,907,905,0.997794928335171,"2017-03-05"
5.78389739990234,907,904,0.996692392502756,"2017-03-06"
5.75567817687988,907,906,0.998897464167585,"2017-03-07"
4.44865846633911,907,907,1,"2017-03-08"
5.77775430679321,907,907,1,"2017-03-09"
5.7833833694458,907,906,0.998897464167585,"2017-03-10"
5.79407548904419,907,901,0.993384785005513,"2017-03-11"
5.78380823135376,907,905,0.997794928335171,"2017-03-12"
5.78380823135376,907,905,0.997794928335171,"2017-03-13"
5.78467702865601,907,904,0.996692392502756,"2017-03-14"
5.78389739990234,907,904,0.996692392502756,"2017-03-15"
3.84110999107361,907,904,0.996692392502756,"2017-03-16"
5.78447151184082,907,903,0.995589856670342,"2017-03-17"
5.78467702865601,907,904,0.996692392502756,"2017-03-18"
5.35468816757202,907,904,0.996692392502756,"2017-03-19"
5.5850682258606,907,907,1,"2017-03-20"
4.71469831466675,907,903,0.995589856670342,"2017-03-21"
5.7785210609436,907,905,0.997794928335171,"2017-03-22"
5.77972459793091,907,904,0.996692392502756,"2017-03-23"
5.61667490005493,907,904,0.996692392502756,"2017-03-24"
5.77836751937866,907,907,1,"2017-03-25"
5.77951908111572,907,903,0.995589856670342,"2017-03-26"
5.77972459793091,907,904,0.996692392502756,"2017-03-27"
5.77981281280518,907,903,0.995589856670342,"2017-03-28"
5.78247594833374,907,902,0.994487320837927,"2017-03-29"
3.98617839813232,907,905,0.997794928335171,"2017-03-30"
4.98800468444824,907,904,0.996692392502756,"2017-03-31"
5.6393895149231,907,904,0.996692392502756,"2017-04-01"
4.98990774154663,907,906,0.998897464167585,"2017-04-02"
5.11033916473389,907,903,0.995589856670342,"2017-04-03"
5.61136293411255,907,906,0.998897464167585,"2017-04-04"
5.61296272277832,907,903,0.995589856670342,"2017-04-05"
5.61180067062378,907,904,0.996692392502756,"2017-04-06"
5.61180067062378,907,904,0.996692392502756,"2017-04-07"
5.61549377441406,907,902,0.994487320837927,"2017-04-08"
5.13064193725586,907,903,0.995589856670342,"2017-04-09"
5.6121244430542,907,904,0.996692392502756,"2017-04-10"
3.56746220588684,907,903,0.995589856670342,"2017-04-11"
5.62194490432739,907,901,0.993384785005513,"2017-04-12"
5.61203861236572,907,905,0.997794928335171,"2017-04-13"
5.6208643913269,907,901,0.993384785005513,"2017-04-14"
5.612877368927,907,904,0.996692392502756,"2017-04-15"
5.06896162033081,907,903,0.995589856670342,"2017-04-16"
5.612877368927,907,904,0.996692392502756,"2017-04-17"
5.61263942718506,907,903,0.995589856670342,"2017-04-18"
5.54553318023682,907,903,0.995589856670342,"2017-04-19"
5.61657238006592,907,902,0.994487320837927,"2017-04-20"
5.39701080322266,907,904,0.996692392502756,"2017-04-21"
4.6689281463623,907,907,1,"2017-04-22"
5.66727781295776,907,904,0.996692392502756,"2017-04-23"
5.67631435394287,907,901,0.993384785005513,"2017-04-24"
5.52436828613281,907,903,0.995589856670342,"2017-04-25"
5.54033088684082,907,903,0.995589856670342,"2017-04-26"
5.40780305862427,907,907,1,"2017-04-27"
4.78426551818848,907,905,0.997794928335171,"2017-04-28"
5.23831415176392,907,903,0.995589856670342,"2017-04-29"
2.94241189956665,907,903,0.995589856670342,"2017-04-30"
5.62482833862305,907,905,0.997794928335171,"2017-05-01"
4.69112205505371,907,905,0.997794928335171,"2017-05-02"
5.60297203063965,907,901,0.993384785005513,"2017-05-03"
3.85278677940369,907,903,0.995589856670342,"2017-05-04"
5.59321975708008,907,907,1,"2017-05-05"
5.5931658744812,907,906,0.998897464167585,"2017-05-06"
NA,907,0,0,"2017-05-07"
5.59732103347778,907,903,0.995589856670342,"2017-05-08"
4.78095960617065,907,903,0.995589856670342,"2017-05-09"
4.52680110931396,907,906,0.998897464167585,"2017-05-10"
5.59322834014893,907,905,0.997794928335171,"2017-05-11"
NA,907,0,0,"2017-05-12"
NA,907,0,0,"2017-05-13"
5.60015964508057,907,903,0.995589856670342,"2017-05-14"
